Country,Year,Antibiotic_Group,S,I,R,TotalN,pS,pI,pR
Denmark,2010,Carbapenems,491,0,0,491,100.0 %,0.0 %,0.0 %
Denmark,2011,Carbapenems,589,0,0,589,100.0 %,0.0 %,0.0 %
Denmark,2012,Carbapenems,678,0,2,680,99.7 %,0.0 %,0.3 %
Denmark,2013,Carbapenems,643,1,1,645,99.7 %,0.2 %,0.2 %
Estonia,2005,Carbapenems,26,0,0,26,100.0 %,0.0 %,0.0 %
Estonia,2006,Carbapenems,26,0,0,26,100.0 %,0.0 %,0.0 %
Estonia,2007,Carbapenems,48,0,0,48,100.0 %,0.0 %,0.0 %
Estonia,2008,Carbapenems,62,0,0,62,100.0 %,0.0 %,0.0 %
Estonia,2009,Carbapenems,50,0,0,50,100.0 %,0.0 %,0.0 %
Estonia,2010,Carbapenems,66,0,0,66,100.0 %,0.0 %,0.0 %
Estonia,2011,Carbapenems,73,0,0,73,100.0 %,0.0 %,0.0 %
Estonia,2012,Carbapenems,78,0,1,79,98.7 %,0.0 %,1.3 %
Estonia,2013,Carbapenems,72,0,2,74,97.3 %,0.0 %,2.7 %
Finland,2005,Carbapenems,131,0,0,131,100.0 %,0.0 %,0.0 %
Finland,2006,Carbapenems,214,0,0,214,100.0 %,0.0 %,0.0 %
Finland,2007,Carbapenems,251,0,0,251,100.0 %,0.0 %,0.0 %
Finland,2008,Carbapenems,280,0,0,280,100.0 %,0.0 %,0.0 %
Finland,2009,Carbapenems,349,1,1,351,99.4 %,0.3 %,0.3 %
Finland,2010,Carbapenems,390,1,0,391,99.7 %,0.3 %,0.0 %
Finland,2011,Carbapenems,403,1,0,404,99.8 %,0.2 %,0.0 %
Finland,2012,Carbapenems,536,0,0,536,100.0 %,0.0 %,0.0 %
Finland,2013,Carbapenems,550,0,0,550,100.0 %,0.0 %,0.0 %
France,2005,Carbapenems,752,0,1,753,99.9 %,0.0 %,0.1 %
France,2006,Carbapenems,831,0,0,831,100.0 %,0.0 %,0.0 %
France,2007,Carbapenems,1056,0,1,1057,99.9 %,0.0 %,0.1 %
France,2008,Carbapenems,1020,1,0,1021,99.9 %,0.1 %,0.0 %
France,2009,Carbapenems,1262,4,2,1268,99.5 %,0.3 %,0.2 %
France,2010,Carbapenems,1428,3,1,1432,99.7 %,0.2 %,0.1 %
France,2011,Carbapenems,1638,2,0,1640,99.9 %,0.1 %,0.0 %
France,2012,Carbapenems,1610,9,8,1627,99.0 %,0.6 %,0.5 %
France,2013,Carbapenems,1821,9,12,1842,98.9 %,0.5 %,0.7 %
Germany,2005,Carbapenems,100,0,2,102,98.0 %,0.0 %,2.0 %
Germany,2006,Carbapenems,146,1,0,147,99.3 %,0.7 %,0.0 %
Germany,2007,Carbapenems,170,0,3,173,98.3 %,0.0 %,1.7 %
Germany,2008,Carbapenems,231,0,0,231,100.0 %,0.0 %,0.0 %
Germany,2009,Carbapenems,467,0,0,467,100.0 %,0.0 %,0.0 %
Germany,2010,Carbapenems,463,1,0,464,99.8 %,0.2 %,0.0 %
Germany,2011,Carbapenems,511,1,0,512,99.8 %,0.2 %,0.0 %
Germany,2012,Carbapenems,660,1,0,661,99.8 %,0.2 %,0.0 %
Germany,2013,Carbapenems,737,1,5,743,99.2 %,0.1 %,0.7 %
Greece,2005,Carbapenems,532,26,215,773,68.8 %,3.4 %,27.8 %
Greece,2006,Carbapenems,525,37,275,837,62.7 %,4.4 %,32.9 %
Greece,2007,Carbapenems,522,34,410,966,54.0 %,3.5 %,42.4 %
Greece,2008,Carbapenems,592,90,392,1074,55.1 %,8.4 %,36.5 %
Greece,2009,Carbapenems,788,131,708,1627,48.4 %,8.1 %,43.5 %
Greece,2010,Carbapenems,683,176,828,1687,40.5 %,10.4 %,49.1 %
Greece,2011,Carbapenems,478,43,1115,1636,29.2 %,2.6 %,68.2 %
Greece,2012,Carbapenems,549,28,883,1460,37.6 %,1.9 %,60.5 %
Greece,2013,Carbapenems,479,12,718,1209,39.6 %,1.0 %,59.4 %
Hungary,2005,Carbapenems,299,0,1,300,99.7 %,0.0 %,0.3 %
Hungary,2006,Carbapenems,283,2,0,285,99.3 %,0.7 %,0.0 %
Hungary,2007,Carbapenems,309,0,0,309,100.0 %,0.0 %,0.0 %
Hungary,2008,Carbapenems,360,0,0,360,100.0 %,0.0 %,0.0 %
Hungary,2009,Carbapenems,358,0,2,360,99.4 %,0.0 %,0.6 %
Hungary,2010,Carbapenems,462,2,27,491,94.1 %,0.4 %,5.5 %
Hungary,2011,Carbapenems,403,2,8,413,97.6 %,0.5 %,1.9 %
Hungary,2012,Carbapenems,463,4,14,481,96.3 %,0.8 %,2.9 %
Hungary,2013,Carbapenems,520,1,9,530,98.1 %,0.2 %,1.7 %
Iceland,2005,Carbapenems,21,0,0,21,100.0 %,0.0 %,0.0 %
Iceland,2006,Carbapenems,12,0,0,12,100.0 %,0.0 %,0.0 %
